               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.12192,            0.037028,            0.029522,          0.00043178,            0.071429,           0.0053627,           0.0010725,             0.10681,            0.032784,            0.027112,              0.0982,              0.0002,              0.0002
                   1,             0.12134,            0.032184,            0.030041,           0.0003453,            0.071429,           0.0044119,          0.00088239,             0.10576,            0.033203,              0.0271,            0.095495,          0.00049505,          0.00049505
                   2,             0.12101,            0.030676,            0.030736,          0.00031328,            0.071429,           0.0043983,           0.0013195,             0.10408,            0.033894,            0.027087,            0.092784,          0.00078416,          0.00078416
                   3,             0.11752,            0.033789,            0.029661,          0.00030675,            0.071429,            0.002816,           0.0011264,             0.10233,            0.034714,            0.027057,            0.090067,           0.0010673,           0.0010673
                   4,             0.11274,            0.036854,            0.028642,          0.00059988,             0.14286,            0.020548,           0.0033143,             0.10042,            0.034771,            0.027032,            0.087345,           0.0013446,           0.0013446
                   5,             0.11187,            0.032956,            0.028507,          0.00059102,             0.14286,            0.041846,           0.0053504,            0.099039,            0.035458,             0.02702,            0.084616,           0.0016158,           0.0016158
                   6,             0.10738,            0.042414,            0.028205,          0.00087719,             0.21429,            0.015961,           0.0023877,            0.097354,            0.035919,            0.027008,            0.081881,           0.0018812,           0.0018812
                   7,              0.1055,            0.045378,            0.027673,          0.00088287,             0.21429,             0.01012,           0.0026516,            0.096215,            0.036419,             0.02699,            0.079141,           0.0021406,           0.0021406
                   8,            0.097534,            0.028921,            0.028884,           0.0011855,             0.28571,            0.021648,           0.0037087,            0.094427,             0.03727,            0.026953,            0.076394,           0.0023941,           0.0023941
                   9,            0.097546,             0.03981,            0.027294,           0.0023896,             0.36905,            0.022613,            0.004231,            0.093285,            0.037811,            0.026904,            0.073642,           0.0026416,           0.0026416
                  10,             0.10232,            0.044758,            0.027125,           0.0020145,             0.29762,           0.0097348,           0.0029579,            0.091603,            0.038651,            0.026843,            0.070883,           0.0028832,           0.0028832
                  11,            0.089949,            0.043872,            0.026518,           0.0019892,             0.29762,            0.010941,           0.0033194,            0.090738,            0.039032,            0.026788,            0.068119,           0.0031189,           0.0031189
                  12,            0.094255,            0.052092,            0.026998,           0.0022125,             0.36905,            0.017379,           0.0032544,             0.08941,            0.039513,            0.026703,            0.065349,           0.0033486,           0.0033486
                  13,            0.094296,            0.055404,            0.026155,           0.0021785,             0.36905,            0.019578,           0.0034535,            0.088869,            0.039474,            0.026642,            0.062572,           0.0035723,           0.0035723
                  14,            0.090944,            0.039232,             0.02628,           0.0025632,             0.38095,            0.010866,           0.0031524,            0.088145,            0.039703,            0.026538,             0.05979,           0.0037902,           0.0037902
                  15,            0.087977,            0.038956,             0.02652,           0.0025312,             0.38095,            0.010735,           0.0038502,            0.087677,            0.039886,            0.026471,            0.057002,           0.0040021,           0.0040021
                  16,            0.087798,            0.042126,            0.026516,           0.0024626,             0.38095,            0.013725,           0.0058978,            0.086624,             0.04023,            0.026343,            0.054208,            0.004208,            0.004208
                  17,            0.089931,            0.039231,            0.026306,             0.00242,             0.38095,            0.013441,           0.0058246,            0.086134,            0.040367,              0.0263,            0.051408,            0.004408,            0.004408
                  18,            0.088437,            0.045474,            0.025643,           0.0024101,             0.38095,            0.011553,           0.0049219,            0.085714,            0.040527,              0.0263,            0.048602,           0.0046021,           0.0046021
                  19,            0.087059,            0.040794,            0.026251,           0.0024101,             0.38095,            0.011589,           0.0045158,            0.085013,            0.040817,            0.026215,             0.04579,           0.0047902,           0.0047902
                  20,            0.086294,            0.034226,            0.024059,            0.002782,             0.45238,            0.026721,           0.0069311,            0.084249,            0.041107,            0.026038,            0.042972,           0.0049724,           0.0049724
                  21,            0.084841,            0.041661,            0.024553,           0.0027757,             0.45238,            0.039701,            0.010077,            0.083427,            0.041412,            0.025848,            0.040149,           0.0051487,           0.0051487
                  22,            0.084135,            0.048063,            0.024443,           0.0023611,             0.38095,            0.031614,             0.01229,            0.082614,            0.041679,            0.025543,            0.037319,            0.005319,            0.005319
                  23,            0.084313,            0.040015,            0.023654,           0.0023588,             0.38095,            0.053722,             0.02141,            0.081511,               0.042,            0.025214,            0.034483,           0.0054833,           0.0054833
                  24,            0.083417,            0.042404,            0.024476,           0.0023584,             0.38095,            0.079397,            0.031382,            0.080278,            0.042282,            0.024835,            0.031642,           0.0056418,           0.0056418
                  25,            0.074718,            0.040747,            0.023423,           0.0023587,             0.38095,             0.11127,            0.050199,            0.078591,            0.042465,            0.024133,            0.028794,           0.0057942,           0.0057942
                  26,            0.079895,            0.043063,            0.024534,           0.0032727,             0.52381,             0.33662,            0.092307,            0.076949,            0.042549,            0.023627,            0.025941,           0.0059408,           0.0059408
                  27,            0.082199,             0.05637,            0.024161,           0.0028236,             0.45238,             0.20252,            0.088841,             0.07587,            0.042366,            0.023352,            0.023081,           0.0060814,           0.0060814
                  28,            0.075734,            0.039869,            0.027185,           0.0028236,             0.45238,             0.20252,            0.088841,             0.07587,            0.042366,            0.023352,            0.020216,           0.0062161,           0.0062161
                  29,              0.0753,            0.044707,             0.02186,           0.0032814,             0.52381,             0.22747,            0.057964,            0.074515,            0.041855,            0.022864,            0.017345,           0.0063448,           0.0063448
                  30,            0.076263,            0.038012,            0.024401,           0.0032792,             0.52381,             0.16846,            0.044698,            0.073853,            0.040695,            0.022266,            0.014468,           0.0064676,           0.0064676
                  31,            0.080469,            0.038011,            0.024763,             0.58944,             0.21429,             0.23211,            0.092653,            0.071244,            0.039948,            0.021945,            0.011584,           0.0065844,           0.0065844
                  32,            0.081511,            0.034631,             0.02583,             0.58944,             0.21429,             0.23211,            0.092653,            0.071244,            0.039948,            0.021945,           0.0086954,           0.0066954,           0.0066954
                  33,            0.075616,            0.048243,            0.023969,             0.85842,             0.28571,              0.3263,             0.10378,            0.070516,            0.038635,            0.021793,            0.006733,            0.006733,            0.006733
                  34,            0.077486,            0.038061,            0.022884,             0.66994,             0.14286,             0.17134,              0.0534,             0.07911,            0.034698,            0.021619,            0.006733,            0.006733,            0.006733
                  35,            0.081296,             0.03421,            0.024647,             0.84486,             0.16261,             0.46075,             0.12175,             0.07118,            0.036629,             0.02128,            0.006634,            0.006634,            0.006634
                  36,             0.07444,            0.046754,            0.021172,             0.84486,             0.16261,             0.46075,             0.12175,             0.07118,            0.036629,             0.02128,            0.006535,            0.006535,            0.006535
                  37,             0.07214,            0.046506,            0.023029,             0.72981,             0.14286,             0.22136,            0.076486,            0.069584,            0.036201,            0.020981,            0.006436,            0.006436,            0.006436
                  38,            0.069538,            0.034495,            0.023842,             0.77555,             0.14286,               0.216,            0.067765,            0.069789,            0.034859,            0.020673,            0.006337,            0.006337,            0.006337
                  39,            0.068642,            0.030852,            0.019595,              0.6148,             0.27719,             0.16593,            0.061567,            0.068942,            0.034363,             0.02034,            0.006238,            0.006238,            0.006238
                  40,            0.067783,            0.035369,            0.021137,              0.6148,             0.27719,             0.16593,            0.061567,            0.068942,            0.034363,             0.02034,            0.006139,            0.006139,            0.006139
                  41,            0.071394,            0.038189,            0.022489,             0.89057,             0.21429,             0.33013,             0.10802,            0.066028,            0.033592,            0.020041,             0.00604,             0.00604,             0.00604
                  42,            0.074429,            0.034008,             0.01886,              0.5864,             0.21429,             0.10197,            0.041573,            0.073441,            0.031746,            0.020029,            0.005941,            0.005941,            0.005941
                  43,            0.077452,            0.041281,            0.021998,             0.15669,             0.69048,             0.20883,            0.062274,            0.070533,             0.03112,            0.019495,            0.005842,            0.005842,            0.005842
                  44,            0.075915,            0.034937,            0.020997,             0.15669,             0.69048,             0.20883,            0.062274,            0.070533,             0.03112,            0.019495,            0.005743,            0.005743,            0.005743
