               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  36,            0.087478,             0.21364,            0.024688,             0.87274,              0.2161,             0.21979,            0.073693,            0.077292,             0.21542,            0.025036,            0.006535,            0.006535,            0.006535
                  37,            0.070262,             0.19696,            0.023571,             0.66532,             0.44192,             0.29271,             0.09636,            0.070015,             0.20959,            0.024372,            0.006436,            0.006436,            0.006436
                  38,            0.070493,             0.19913,            0.024054,              0.6222,             0.44697,             0.28022,            0.090512,            0.072146,             0.21063,            0.024551,            0.006337,            0.006337,            0.006337
                  39,            0.073453,             0.16863,            0.023644,             0.59937,             0.36518,             0.16331,            0.044806,            0.074768,             0.22351,            0.023968,            0.006238,            0.006238,            0.006238
                  40,            0.070069,             0.16061,            0.023036,             0.59937,             0.36518,             0.16331,            0.044806,            0.074768,             0.22351,            0.023968,            0.006139,            0.006139,            0.006139
                  41,             0.06972,             0.19717,            0.021997,             0.62428,             0.41126,             0.25248,            0.074384,            0.070071,             0.23111,            0.024124,             0.00604,             0.00604,             0.00604
                  42,            0.071853,             0.24442,              0.0225,             0.60011,             0.36364,             0.15323,            0.037606,            0.070638,             0.23724,            0.023575,            0.005941,            0.005941,            0.005941
                  43,            0.072296,             0.16748,            0.022741,             0.41805,             0.41119,              0.2847,            0.080419,            0.077111,             0.23355,            0.022766,            0.005842,            0.005842,            0.005842
                  44,            0.071626,             0.17334,            0.021634,             0.41805,             0.41119,              0.2847,            0.080419,            0.077111,             0.23355,            0.022766,            0.005743,            0.005743,            0.005743
                  45,            0.062454,             0.17414,            0.020512,             0.72323,             0.43002,             0.34338,             0.10875,            0.064545,             0.21967,            0.021587,            0.005644,            0.005644,            0.005644
                  46,            0.067733,             0.17404,             0.02086,              0.6595,             0.42314,              0.2704,            0.080822,            0.072086,             0.24615,            0.021225,            0.005545,            0.005545,            0.005545
                  47,            0.066338,             0.19456,            0.020171,             0.69639,             0.46122,             0.26447,            0.081898,            0.072709,             0.23727,            0.020439,            0.005446,            0.005446,            0.005446
                  48,            0.069492,             0.15891,            0.020767,             0.69639,             0.46122,             0.26447,            0.081898,            0.072709,             0.23727,            0.020439,            0.005347,            0.005347,            0.005347
                  49,            0.064142,             0.16157,            0.018751,             0.74143,             0.41373,             0.30518,            0.096538,            0.068391,             0.23163,            0.019676,            0.005248,            0.005248,            0.005248
                  50,            0.065136,             0.17303,            0.022319,             0.72577,             0.44096,             0.35935,             0.14268,            0.069541,             0.22427,            0.018799,            0.005149,            0.005149,            0.005149
                  51,             0.06409,             0.18672,            0.019226,             0.73383,             0.44517,              0.3104,              0.1053,            0.069127,             0.21661,            0.017944,             0.00505,             0.00505,             0.00505
                  52,            0.066531,             0.17784,            0.019763,             0.73383,             0.44517,              0.3104,              0.1053,            0.069127,             0.21661,            0.017944,            0.004951,            0.004951,            0.004951
                  53,            0.064154,             0.17049,            0.021446,             0.79015,             0.44941,             0.41481,             0.16263,            0.060365,             0.20233,            0.017273,            0.004852,            0.004852,            0.004852
                  54,            0.066015,             0.17321,            0.016561,              0.8065,             0.47702,             0.40085,             0.14864,             0.06417,             0.21359,            0.016987,            0.004753,            0.004753,            0.004753
                  55,            0.060199,             0.19413,            0.018431,             0.72538,             0.44607,             0.35504,             0.13316,            0.065311,             0.21378,            0.016312,            0.004654,            0.004654,            0.004654
                  56,            0.065102,             0.18371,            0.018579,             0.72538,             0.44607,             0.35504,             0.13316,            0.065311,             0.21378,            0.016312,            0.004555,            0.004555,            0.004555
                  57,            0.064709,              0.1647,            0.015275,             0.77677,             0.44871,              0.4446,             0.17511,            0.060674,              0.2135,            0.015953,            0.004456,            0.004456,            0.004456
                  58,            0.064988,               0.145,            0.040576,             0.79273,             0.46533,             0.45905,             0.16336,            0.064512,              0.2063,            0.015413,            0.004357,            0.004357,            0.004357
                  59,            0.063829,             0.15692,            0.016154,             0.88529,             0.43156,             0.47212,             0.16867,            0.061309,             0.20102,            0.014912,            0.004258,            0.004258,            0.004258
                  60,            0.059327,             0.16889,            0.017007,             0.88529,             0.43156,             0.47212,             0.16867,            0.061309,             0.20102,            0.014912,            0.004159,            0.004159,            0.004159
                  61,            0.058885,               0.171,            0.016638,             0.85982,             0.47143,              0.5158,              0.2025,            0.058029,             0.19598,            0.014557,             0.00406,             0.00406,             0.00406
                  62,            0.057364,             0.19755,            0.016621,             0.83475,             0.46897,              0.5248,             0.20032,            0.060063,             0.19971,            0.014328,            0.003961,            0.003961,            0.003961
                  63,            0.074393,             0.22118,            0.019934,             0.80181,             0.44697,             0.50894,              0.1885,            0.059856,             0.20892,            0.014118,            0.003862,            0.003862,            0.003862
